,filename,width,height,class,xmin,ymin,xmax,ymax
0,IMG_0558.jpeg,3024,4032,lucy,699,1314,1868,3161
1,IMG_8919.jpeg,3024,4032,lucy,10,590,2271,3827
2,IMG_0834.jpeg,3024,4032,lucy,331,1174,1868,2781
3,IMG_9623.jpeg,3024,4032,lucy,711,198,2236,3833
4,IMG_7418.jpeg,3024,4032,lucy,1295,1174,1920,2401
5,IMG_7750.jpeg,3024,4032,lucy,115,414,2978,3728
6,d78e914b-8afe-4604-8ed4-0a7af5e3f349.jpeg,1200,1600,lucy,143,651,752,860
7,8BE01FC9-8E1F-4066-8813-C4C6E7F54773.jpeg,3024,3024,lucy,863,263,2888,2682
8,IMG_8073.jpeg,3024,4032,lucy,33,730,2990,3973
9,078D77A0-6283-42B1-812F-8BF13ACC4AEE.jpeg,2803,2803,lucy,80,27,2154,2720
10,IMG_0836.jpeg,3024,4032,lucy,1050,1408,1909,2956
11,IMG_0822.jpeg,3024,4032,lucy,50,1326,2394,4014
12,IMG_8502.jpeg,3024,4032,lucy,968,1011,2312,2711
13,IMG_7396.jpeg,3024,4032,lucy,588,631,2475,4020
14,IMG_0200.jpeg,3024,4032,lucy,1330,508,2166,2822
15,IMG_0002.jpeg,3024,4032,lucy,530,882,3013,2600
16,IMG_8328.jpeg,3024,4032,lucy,898,1607,2400,3757
17,IMG_7027.jpeg,3024,4032,lucy,278,514,3001,3967
18,IMG_0210.jpeg,3024,4032,lucy,705,537,1698,2097
19,IMG_9618.jpeg,3024,4032,lucy,389,1011,1996,4002
20,IMG_0198.jpeg,4032,3024,lucy,13,569,1608,2682
21,IMG_1127.jpeg,3024,4032,lucy,1535,134,2668,1636
22,IMG_0039.jpeg,3024,4032,lucy,1611,1828,2768,3342
23,IMG_3530.jpeg,1125,2436,lucy,272,660,1063,1722
24,IMG_7971.jpeg,3024,4032,lucy,15,467,2394,3891
25,66132262328__82141BC9-4BAF-4C85-B67A-3DAE968A09A1.jpeg,3024,4032,lucy,991,2442,2119,3810
26,IMG_0373.jpeg,3024,4032,lucy,781,455,3007,3196
27,IMG_8075.jpeg,3024,4032,lucy,10,76,3019,3558
28,IMG_0616.jpeg,3024,4032,lucy,243,23,2978,3517
29,IMG_7384.jpeg,3024,4032,lucy,214,1262,3013,4014
30,IMG_0428.jpeg,3024,4032,lucy,1640,1513,2639,2179
31,IMG_0789.jpeg,2316,3088,lucy,30,1114,2003,3074
32,IMG_7095.jpeg,3024,4032,lucy,851,1157,1938,2764
33,IMG_0671.jpeg,3024,4032,lucy,781,2273,2359,2845
34,IMG_8012.jpeg,3024,4032,lucy,2288,2974,2522,3401
35,IMG_7900.jpeg,3024,4032,lucy,10,660,1996,3961
36,IMG_0909.jpeg,1170,2532,lucy,177,1548,427,1779
37,IMG_0458.jpeg,3024,4032,lucy,845,1501,1856,2571
38,IMG_6559.jpeg,3024,4032,lucy,21,11,1973,2442
39,IMG_6565.jpeg,2320,3088,lucy,573,1302,2023,2783
40,IMG_9656.jpeg,3024,4032,lucy,448,637,2259,3722
41,58786519163__D00A8E3E-7640-477E-84ED-97037058A0D7.jpeg,3024,4032,lucy,407,1443,3013,3652
42,IMG_0101.jpeg,3024,4032,lucy,1009,1712,3024,3944
43,IMG_0667.jpeg,3024,4032,lucy,413,1162,2306,2524
44,IMG_7108.jpeg,3024,4032,lucy,950,1005,1687,1595
45,IMG_0317.jpeg,3024,4032,lucy,845,1484,1803,1992
46,IMG_9904.jpeg,3024,4032,lucy,331,736,3019,4014
47,IMG_6410.jpeg,3024,4032,lucy,39,29,3007,2775
48,IMG_0515.jpeg,3024,4032,lucy,1073,1572,2131,2711
49,IMG_0844.jpeg,3024,4032,lucy,1085,1870,2411,3716
50,IMG_7864.jpeg,1125,2436,lucy,68,1235,816,2146
51,IMG_7125.jpeg,3024,4032,lucy,717,46,2721,2804
52,IMG_8955.jpeg,3024,4032,lucy,904,1151,2154,3184
53,IMG_0716.jpeg,3024,4032,lucy,1196,724,2844,2244
54,IMG_6415.jpeg,4032,3024,lucy,13,4,3475,2708
55,IMG_8348.jpeg,3024,4032,lucy,845,1659,2049,3617
56,IMG_0516.jpeg,3024,4032,lucy,1202,1846,2253,2647
57,IMG_7292.jpeg,3024,4032,lucy,1161,601,2470,2395
58,IMG_6563.jpeg,3024,4032,lucy,722,970,1961,2723
59,IMG_0847.jpeg,3024,4032,lucy,273,1057,1617,3371
60,IMG_7898.jpeg,3024,4032,lucy,33,578,2376,3623
61,IMG_7907.jpeg,3024,4032,lucy,1096,929,2557,2898
62,IMG_6585.jpeg,3024,4032,lucy,220,514,3001,3991
63,IMG_1017.jpeg,3024,4032,lucy,512,1168,2604,3219
64,IMG_0731.jpeg,3024,4032,lucy,565,1081,1874,3406
65,IMG_7048.jpeg,3024,4032,lucy,296,0,2978,3506
66,IMG_6801.jpeg,3024,4032,lucy,173,1227,2867,3482
67,IMG_1028.jpeg,3024,4032,lucy,758,2477,2043,3003
68,IMG_1014.jpeg,3024,4032,lucy,33,1531,2733,3214
69,IMG_0732.jpeg,3024,4032,lucy,518,1011,1961,3430
70,IMG_9712.jpeg,3024,4032,lucy,50,438,2119,3739
71,IMG_0911.jpeg,1170,2532,lucy,104,1566,357,1768
